seq,N,method,wrot,k,gap,build_ms,query_us,recall,top1
05,2761,proposed,50,1,100,0.242,2.9549,1.000000,1.000000
05,2761,naive,50,1,100,0.246,1.2992,0.964143,0.964143
05,2761,naive_sc,50,1,100,0.237,2.0655,0.730170,0.730170
05,2761,rerank,50,1,100,0.148,2.6101,0.789931,0.789931
05,2761,brute,50,8,100,0.000,13.2213,1.000000,1.000000
05,2761,proposed,50,8,100,0.454,3.9659,1.000000,1.000000
05,2761,naive,50,8,100,0.249,2.0447,0.964325,0.964143
05,2761,naive_sc,50,8,100,0.247,2.4019,0.727952,0.730170
05,2761,rerank,50,8,100,0.155,2.3862,0.784181,0.789931
06,1101,brute,5,1,100,0.000,3.5579,1.000000,1.000000
06,1101,proposed,5,1,100,0.085,0.7558,1.000000,1.000000
06,1101,naive,5,1,100,0.084,0.4599,0.995459,0.995459
06,1101,naive_sc,5,1,100,0.081,0.7004,0.978202,0.978202
06,1101,rerank,5,1,100,0.055,1.7411,1.000000,1.000000
06,1101,brute,5,8,100,0.000,4.3120,1.000000,1.000000
06,1101,proposed,5,8,100,0.080,1.0551,1.000000,1.000000
06,1101,naive,5,8,100,0.082,0.7366,0.998524,0.995459
06,1101,naive_sc,5,8,100,0.078,0.8679,0.990236,0.978202
06,1101,rerank,5,8,100,0.055,1.8951,1.000000,1.000000
06,1101,brute,15,1,100,0.000,3.5734,1.000000,1.000000
06,1101,proposed,15,1,100,0.086,1.0198,1.000000,1.000000
06,1101,naive,15,1,100,0.093,0.5938,0.954587,0.954587
06,1101,naive_sc,15,1,100,0.084,1.2241,0.434151,0.434151
06,1101,rerank,15,1,100,0.061,1.5960,1.000000,1.000000
06,1101,brute,15,8,100,0.000,5.3831,1.000000,1.000000
06,1101,proposed,15,8,100,0.091,1.6103,1.000000,1.000000
06,1101,naive,15,8,100,0.108,1.3534,0.987852,0.954587
06,1101,naive_sc,15,8,100,0.117,1.9966,0.485695,0.434151
06,1101,rerank,15,8,100,0.089,2.7782,0.999205,1.000000
06,1101,brute,50,1,100,0.000,6.4482,1.000000,1.000000
06,1101,proposed,50,1,100,0.094,1.7207,1.000000,1.000000
06,1101,naive,50,1,100,0.129,1.3688,0.852861,0.852861
06,1101,naive_sc,50,1,100,0.113,1.8308,0.231608,0.231608
06,1101,rerank,50,1,100,0.051,1.6760,0.970027,0.970027
06,1101,brute,50,8,100,0.000,4.2337,1.000000,1.000000
06,1101,proposed,50,8,100,0.084,1.9183,1.000000,1.000000
06,1101,naive,50,8,100,0.095,1.2574,0.917461,0.852861
06,1101,naive_sc,50,8,100,0.086,2.2254,0.311194,0.231608
06,1101,rerank,50,8,100,0.055,1.6866,0.969119,0.970027
08,4071,brute,5,1,100,0.000,14.5633,1.000000,1.000000
08,4071,proposed,5,1,100,0.319,2.8159,1.000000,1.000000
08,4071,naive,5,1,100,0.331,1.5270,0.950135,0.950135
08,4071,naive_sc,5,1,100,0.324,1.4058,0.923852,0.923852
08,4071,rerank,5,1,100,0.221,2.6253,1.000000,1.000000
08,4071,brute,5,8,100,0.000,17.7967,1.000000,1.000000
08,4071,proposed,5,8,100,0.339,2.8118,1.000000,1.000000
08,4071,naive,5,8,100,0.331,1.7201,0.988056,0.950135
08,4071,naive_sc,5,8,100,0.363,1.7539,0.975313,0.923852
08,4071,rerank,5,8,100,0.218,2.6598,1.000000,1.000000
08,4071,brute,15,1,100,0.000,15.0530,1.000000,1.000000
08,4071,proposed,15,1,100,0.370,3.1646,1.000000,1.000000
08,4071,naive,15,1,100,0.386,1.8021,0.886760,0.886760
08,4071,naive_sc,15,1,100,0.360,1.6263,0.821174,0.821174
08,4071,rerank,15,1,100,0.217,2.7884,0.974208,0.974208
08,4071,brute,15,8,100,0.000,18.5806,1.000000,1.000000
08,4071,proposed,15,8,100,0.330,3.5618,1.000000,1.000000
08,4071,naive,15,8,100,0.345,2.0064,0.920198,0.886760
08,4071,naive_sc,15,8,100,0.335,1.9970,0.892870,0.821174
08,4071,rerank,15,8,100,0.221,2.6230,0.972151,0.974208
08,4071,brute,50,1,100,0.000,14.7224,1.000000,1.000000
08,4071,proposed,50,1,100,0.401,4.4421,1.000000,1.000000
08,4071,naive,50,1,100,0.360,2.0407,0.840088,0.840088
08,4071,naive_sc,50,1,100,0.353,2.0036,0.827561,0.827561
08,4071,rerank,50,1,100,0.219,2.7398,0.722918,0.722918
08,4071,brute,50,8,100,0.000,17.6698,1.000000,1.000000
08,4071,proposed,50,8,100,0.347,4.6554,1.000000,1.000000
08,4071,naive,50,8,100,0.356,2.3731,0.846291,0.840088
08,4071,naive_sc,50,8,100,0.347,2.3760,0.830723,0.827561
08,4071,rerank,50,8,100,0.223,2.7235,0.709132,0.722918
