i,x,z,recall_naive,recall_naive_sc,recall_rerank
0,0,2.22045e-16,1,0,1
1,-0.0140175,1.199,1,0,1
2,-0.0278736,2.38418,1,0,1
3,-0.0418032,3.57563,1,0,1
4,-0.0557354,4.76729,1,0,1
5,-0.0697067,5.96228,1,0,1
6,-0.0836255,7.15277,1,0,1
7,-0.0975696,8.3454,1,0,1
8,-0.111499,9.53676,1,0,1
9,-0.125431,10.7283,1,0,1
10,-0.139362,11.9198,1,0,1
11,-0.1533,13.1119,1,0,1
12,-0.167141,14.3035,1,0,1
13,-0.181814,15.4966,1,0,1
14,-0.195073,16.6876,1,0,1
15,-0.208176,17.881,1,0,1
16,-0.222069,19.0766,1,0,1
17,-0.237295,20.2702,1,0,1
18,-0.253156,21.4647,1,0,1
19,-0.270764,22.6588,1,0,1
20,-0.288791,23.853,1,0,1
21,-0.307115,25.0468,1,0,1
22,-0.327351,26.2431,1,0,1
23,-0.347249,27.4417,1,0,1
24,-0.367798,28.6371,1,0,1
25,-0.389214,29.8283,1,0,1
26,-0.411276,31.0279,1,0,1
27,-0.435716,32.2319,1,0,1
28,-0.459653,33.4202,1,0,1
29,-0.484698,34.6148,1,0,1
30,-0.509819,35.8126,1,0,1
31,-0.536706,37.0093,1,0,1
32,-0.562741,38.2069,1,0,1
33,-0.590462,39.4055,1,0,1
34,-0.61817,40.6024,1,0,1
35,-0.646632,41.7987,1,0,1
36,-0.675668,42.9959,1,0,1
37,-0.708016,44.1956,1,0,1
38,-0.735861,45.3956,1,0,1
39,-0.761728,46.5961,1,0,1
40,-0.784447,47.8015,1,0,1
41,-0.80502,49.0045,1,0,1
42,-0.822002,50.2035,1,0,1
43,-0.84029,51.4046,1,0,1
44,-0.859463,52.6058,1,0,1
45,-0.875378,53.8113,1,0,1
46,-0.892873,55.0152,1,0,1
47,-0.91186,56.2203,1,0,1
48,-0.933231,57.4278,1,0,1
49,-0.956215,58.6326,1,0,1
50,-0.981436,59.8386,1,0,1
51,-1.00672,61.0421,1,0,1
52,-1.03113,62.2456,1,0,1
53,-1.05386,63.4475,1,0,1
54,-1.07847,64.6475,1,0,1
55,-1.10319,65.8504,1,0,1
56,-1.12954,67.0476,1,0,1
57,-1.15768,68.2411,1,0,1
58,-1.18693,69.4353,1,0,1
59,-1.21532,70.6262,1,0,1
60,-1.24323,71.816,1,0,1
61,-1.26857,73.0022,1,0,1
62,-1.29284,74.1875,1,0,1
63,-1.31025,75.3655,1,0,1
64,-1.32014,76.5408,1,0,1
65,-1.33092,77.7163,1,0,1
66,-1.33795,78.8946,1,0,1
67,-1.34094,80.0684,1,0,1
68,-1.34229,81.2345,1,0,1
69,-1.33565,82.3991,1,0,1
70,-1.32387,83.558,1,0,1
71,-1.30927,84.7174,1,0,1
72,-1.29299,85.877,1,0,1
73,-1.27312,87.0311,1,0,1
74,-1.24713,88.1838,1,0,1
75,-1.21667,89.3334,1,0,1
76,-1.18274,90.4834,1,0,1
77,-1.14413,91.6365,1,0,1
78,-1.10175,92.7913,1,0,1
79,-1.05601,93.9471,1,0,1
80,-1.00612,95.1026,1,0,1
81,-0.953966,96.2554,1,0,1
82,-0.89754,97.4132,1,0,1
83,-0.841003,98.5722,1,0,1
84,-0.782045,99.7397,1,0,1
85,-0.723357,100.914,1,0,1
86,-0.665532,102.095,1,0,1
87,-0.607718,103.279,1,0,1
88,-0.550571,104.47,1,0,1
89,-0.497748,105.668,1,0,1
90,-0.448327,106.867,1,0,1
91,-0.405377,108.072,1,0,1
92,-0.365108,109.279,1,0,1
93,-0.329075,110.492,1,0,1
94,-0.298528,111.707,1,0,1
95,-0.272672,112.924,1,0,1
96,-0.253779,114.142,1,0,1
97,-0.241552,115.363,1,0,1
98,-0.234072,116.586,1,0,1
99,-0.232571,117.812,1,0,1
100,-0.237293,119.04,1,0,1
101,-0.246444,120.271,1,0,1
102,-0.256232,121.501,1,0,1
103,-0.269679,122.742,1,0,1
104,-0.283572,123.983,1,0,1
105,-0.297015,125.224,1,0,1
106,-0.316815,126.47,1,0,1
107,-0.336076,127.72,1,0,1
108,-0.353204,128.97,1,0,1
109,-0.370442,130.22,1,0,1
110,-0.384545,131.476,1,0,1
111,-0.397623,132.733,1,0,1
112,-0.413373,133.996,1,0,1
113,-0.429912,135.259,1,0,1
114,-0.443887,136.523,1,0,1
115,-0.457056,137.79,1,0,1
116,-0.472057,139.057,1,0,1
117,-0.490815,140.331,1,0,1
118,-0.509951,141.606,1,0,1
119,-0.531657,142.88,1,0,1
120,-0.550146,144.153,1,0,1
121,-0.568107,145.424,1,0,1
122,-0.586224,146.694,1,0,1
123,-0.601569,147.961,1,0,1
124,-0.618401,149.227,1,0,1
125,-0.634443,150.492,1,0,1
126,-0.649286,151.756,1,0,1
127,-0.666905,153.025,1,0,1
128,-0.684175,154.288,1,0,1
129,-0.703475,155.553,1,0,1
130,-0.721231,156.817,1,0,1
131,-0.740134,158.078,1,0,1
132,-0.75814,159.342,1,0,1
133,-0.778517,160.604,1,0,1
134,-0.798967,161.864,1,0,1
135,-0.821014,163.126,1,0,1
136,-0.844849,164.39,1,0,1
137,-0.867607,165.652,1,0,1
138,-0.891591,166.914,1,0,1
139,-0.915926,168.177,1,0,1
140,-0.941804,169.441,1,0,1
141,-0.968255,170.705,1,0,1
142,-0.99577,171.971,1,0,1
143,-1.02432,173.234,1,0,1
144,-1.05365,174.498,1,0,1
145,-1.08317,175.759,1,0,1
146,-1.11197,177.026,1,0,1
147,-1.14094,178.289,1,0,1
148,-1.1675,179.549,1,0,1
149,-1.19338,180.811,1,0,1
150,-1.22091,182.072,1,0,1
151,-1.24982,183.337,1,0,1
152,-1.28027,184.593,1,0,1
153,-1.31192,185.843,1,0,1
154,-1.34277,187.092,1,0,1
155,-1.37147,188.339,1,0,1
156,-1.40087,189.586,1,0,1
157,-1.42991,190.831,1,0,1
158,-1.45692,192.07,1,0,1
159,-1.48235,193.304,1,0,1
160,-1.50439,194.534,1,0,1
161,-1.52543,195.761,1,0,1
162,-1.54334,196.982,1,0,1
163,-1.56132,198.199,1,0,1
164,-1.57734,199.411,1,0,1
165,-1.59322,200.619,1,0,1
166,-1.60705,201.821,1,0,1
167,-1.61957,203.016,1,0,1
168,-1.62986,204.203,1,0,1
169,-1.6397,205.382,1,0,1
170,-1.64907,206.553,1,0,1
171,-1.65597,207.709,1,0,1
172,-1.66316,208.852,1,0,1
173,-1.67052,209.982,1,0,1
174,-1.68092,211.094,1,0,1
175,-1.69261,212.191,1,0,1
176,-1.70539,213.275,1,0,1
177,-1.71766,214.345,1,0,1
178,-1.73064,215.405,1,0,1
179,-1.74418,216.448,1,0,1
180,-1.7581,217.485,1,0,1
181,-1.77596,218.508,1,0,1
182,-1.79655,219.511,1,0,1
183,-1.82019,220.495,1,0,1
184,-1.84453,221.461,1,0,1
185,-1.8716,222.403,1,0,1
186,-1.9005,223.323,1,0,1
187,-1.93108,224.219,1,0,1
188,-1.96323,225.093,1,0,1
189,-1.99932,225.946,1,0,1
190,-2.03611,226.776,1,0,1
191,-2.07606,227.589,1,0,1
192,-2.11395,228.382,1,0,1
193,-2.14943,229.159,1,0,1
194,-2.18284,229.917,1,0,1
195,-2.21517,230.658,1,0,1
196,-2.24791,231.388,1,0,1
197,-2.27881,232.116,1,0,1
198,-2.30914,232.838,1,0,1
199,-2.33855,233.56,1,0,1
200,-2.3648,234.278,1,0,1
201,-2.38958,234.992,1,0,1
202,-2.41471,235.702,1,0,1
203,-2.43716,236.409,1,0,1
204,-2.45827,237.112,1,0,1
205,-2.47522,237.811,1,0,1
206,-2.48924,238.508,1,0,1
207,-2.50154,239.2,1,0,1
208,-2.51195,239.888,1,0,1
209,-2.52029,240.575,1,0,1
210,-2.5282,241.264,1,0,1
211,-2.53435,241.957,1,0,1
212,-2.53835,242.654,1,0,1
213,-2.54339,243.356,1,0,1
214,-2.5456,244.059,1,0,1
215,-2.54685,244.763,1,0,1
216,-2.54662,245.471,1,0,1
217,-2.54558,246.186,1,0,1
218,-2.54373,246.908,1,0,1
219,-2.54206,247.636,1,0,1
220,-2.5419,248.369,1,0,1
