i,x,z,recall_naive,recall_naive_sc,recall_rerank
0,5.55111e-17,-4.44089e-16,1,0.25,1
1,-0.0469029,0.858694,1,0.5,1
2,-0.0937435,1.71627,1,0.625,1
3,-0.140643,2.57496,1,0.75,1
4,-0.187486,3.43265,1,0.75,1
5,-0.234382,4.29134,1,0.875,1
6,-0.28122,5.14899,1,1,1
7,-0.328118,6.00778,1,1,1
8,-0.374955,6.86548,1,1,1
9,-0.421837,7.72404,1,1,1
10,-0.468733,8.58289,1,1,1
11,-0.515547,9.44027,1,0.875,1
12,-0.562431,10.299,1,1,1
13,-0.609309,11.1576,1,1,1
14,-0.656205,12.0154,1,1,1
15,-0.701879,12.8697,1,1,1
16,-0.749824,13.7315,1,1,1
17,-0.799251,14.6003,1,1,1
18,-0.854664,15.4796,1,1,1
19,-0.907287,16.3694,1,1,1
20,-0.960916,17.269,1,1,1
21,-1.01159,18.1732,1,1,1
22,-1.06626,19.0841,1,1,1
23,-1.11865,19.9972,1,1,1
24,-1.17184,20.9137,1,1,1
25,-1.22428,21.8404,1,1,1
26,-1.28081,22.7743,1,1,1
27,-1.33484,23.7095,1,1,1
28,-1.38575,24.6517,1,1,1
29,-1.43663,25.5969,1,1,1
30,-1.48704,26.5447,1,1,1
31,-1.53802,27.4963,1,1,1
32,-1.58655,28.4547,1,1,1
33,-1.63336,29.4229,1,1,1
34,-1.68097,30.3984,1,1,1
35,-1.72889,31.3776,1,1,1
36,-1.76898,32.3571,1,1,1
37,-1.81583,33.3363,1,1,1
38,-1.87066,34.3202,1,1,1
39,-1.92978,35.331,1,1,1
40,-1.99375,36.3875,1,1,1
41,-2.06111,37.4285,1,1,1
42,-2.12695,38.4715,1,1,1
43,-2.19097,39.5037,1,1,1
44,-2.25611,40.5386,1,1,1
45,-2.32994,41.5611,1,1,1
46,-2.39973,42.583,1,1,1
47,-2.46521,43.593,1,1,1
48,-2.53588,44.5979,1,1,1
49,-2.60002,45.5988,1,1,1
50,-2.66188,46.598,1,1,1
51,-2.72891,47.5928,1,1,1
52,-2.80079,48.5786,1,1,1
53,-2.87134,49.556,1,1,1
54,-2.93793,50.5377,1,1,1
55,-3.00246,51.5185,1,1,1
56,-3.06584,52.495,1,1,1
57,-3.13018,53.465,1,1,1
58,-3.19152,54.428,1,1,1
59,-3.24881,55.3918,1,1,1
60,-3.31092,56.3504,1,1,1
61,-3.37151,57.3125,1,1,1
62,-3.43899,58.274,1,1,1
63,-3.51131,59.2254,1,1,1
64,-3.57919,60.1663,1,1,1
65,-3.64178,61.0913,1,1,1
66,-3.70338,62.0063,1,1,1
67,-3.77603,62.9168,1,1,1
68,-3.84394,63.8152,1,1,1
69,-3.9126,64.6979,1,1,1
70,-3.97823,65.5667,1,1,1
71,-4.04662,66.4216,1,1,1
72,-4.11444,67.2645,1,1,1
73,-4.17999,68.0933,1,1,1
74,-4.24486,68.9099,1,1,1
75,-4.31302,69.7142,1,1,1
76,-4.38194,70.508,1,1,1
77,-4.44551,71.2844,1,1,1
78,-4.51487,72.0374,1,1,1
79,-4.58021,72.7679,1,1,1
80,-4.64434,73.4806,1,1,1
81,-4.70949,74.1754,1,1,1
82,-4.77573,74.8515,1,1,1
83,-4.83751,75.5074,1,0.875,1
84,-4.89189,76.1383,1,0.25,1
85,-4.93768,76.7501,1,0,1
86,-4.98584,77.3441,1,0,1
87,-5.03904,77.9253,1,0,1
88,-5.09273,78.4946,1,0,1
89,-5.1338,79.0495,1,0,1
90,-5.15977,79.5923,1,0,1
91,-5.18336,80.123,1,0,1
92,-5.20827,80.6346,1,0,1
93,-5.23521,81.1354,1,0,1
94,-5.24889,81.6229,1,0,1
95,-5.23683,82.097,1,0,1
96,-5.20747,82.5559,1,0,1
97,-5.16354,83.0085,1,0,1
98,-5.10562,83.4545,1,0,1
99,-5.02956,83.8853,1,0,1
100,-4.93465,84.3134,1,0,1
101,-4.8173,84.7287,1,0,1
102,-4.68094,85.1182,1,0,1
103,-4.51919,85.5017,1,0,1
104,-4.33634,85.8537,1,0,1
105,-4.13009,86.2,1,0,1
106,-3.90387,86.5259,1,0,1
107,-3.65638,86.8121,1,0,1
108,-3.39307,87.0956,1,0,1
109,-3.11539,87.345,1,0,1
110,-2.8178,87.594,1,0,1
111,-2.50814,87.8201,1,0,1
112,-2.1826,88.0081,1,0,1
113,-1.84764,88.188,1,0,1
114,-1.51106,88.3435,1,0,1
115,-1.16558,88.502,1,0,1
116,-0.811071,88.6416,1,0,1
117,-0.450022,88.748,1,0,1
118,-0.0726836,88.84,1,0,1
119,0.302092,88.9305,1,0,1
120,0.676345,89.0232,1,0,1
121,1.05089,89.125,1,0,1
122,1.43458,89.2106,1,0,1
123,1.83291,89.2772,1,0,1
124,2.24074,89.3295,1,0,1
125,2.66275,89.3721,1,0,1
126,3.08976,89.419,1,0,1
127,3.53677,89.4722,1,0,1
128,4.00213,89.5206,1,0,1
129,4.47577,89.5561,1,0,1
130,4.96246,89.5834,1,0.125,1
131,5.46005,89.6033,1,0.125,1
132,5.97457,89.621,1,0.625,1
133,6.50462,89.6383,1,1,1
134,7.05038,89.6547,1,1,1
135,7.61409,89.6715,1,1,1
136,8.19796,89.6878,1,1,1
137,8.80091,89.7017,1,1,1
138,9.42023,89.7079,1,1,1
139,10.0598,89.7167,1,1,1
140,10.7146,89.7195,1,1,1
141,11.3884,89.7215,1,1,1
142,12.0746,89.7202,1,1,1
143,12.7819,89.7273,1,1,1
144,13.505,89.7387,1,1,1
145,14.2439,89.7524,1,1,1
146,15.0026,89.7763,1,1,1
147,15.7737,89.8053,1,1,1
148,16.5605,89.8434,1,1,1
149,17.3547,89.8836,1,1,1
150,18.1565,89.9295,1,1,1
151,18.96,89.9788,1,1,1
152,19.7682,90.0334,1,1,1
153,20.5819,90.0828,1,1,1
154,21.3995,90.1324,1,1,1
155,22.2173,90.1827,1,1,1
156,23.0343,90.2277,1,1,1
157,23.8515,90.2737,1,1,1
158,24.6666,90.3173,1,1,1
159,25.4784,90.365,1,0.875,1
160,26.2888,90.4115,1,1,1
161,27.1001,90.4578,1,1,1
162,27.9099,90.4992,1,1,1
163,28.7218,90.5374,1,1,1
164,29.5334,90.568,1,1,1
165,30.3403,90.5889,1,1,1
166,31.142,90.6026,1,1,1
167,31.9432,90.6041,1,1,1
168,32.7407,90.5983,1,1,1
169,33.5327,90.5865,1,1,1
170,34.3242,90.5624,1,1,1
171,35.1104,90.5296,1,1,1
172,35.8892,90.49,1,1,1
173,36.6636,90.4425,1,1,1
174,37.4308,90.3867,1,1,1
175,38.1896,90.3236,1,1,1
176,38.9405,90.2516,1,1,1
177,39.6836,90.1763,1,1,1
178,40.4188,90.0918,1,1,1
179,41.1457,90.0029,1,1,1
180,41.8632,89.9103,1,1,1
181,42.5748,89.8161,1,1,1
182,43.2746,89.724,1,1,1
183,43.9595,89.6344,1,1,1
184,44.6312,89.5465,1,1,1
185,45.285,89.4602,1,1,1
186,45.9228,89.3786,1,1,1
187,46.5426,89.3065,1,1,1
188,47.144,89.2445,1,1,1
189,47.7263,89.1933,1,1,1
190,48.2888,89.1528,1,1,1
191,48.8315,89.1269,1,1,1
192,49.3665,89.1211,1,1,1
193,49.8938,89.1302,1,1,1
194,50.4167,89.1484,1,0.875,1
195,50.9394,89.1915,1,1,1
196,51.4568,89.2559,1,0.875,1
197,51.9638,89.3356,1,1,1
198,52.4641,89.4509,1,0.875,1
199,52.9598,89.5927,1,0.875,1
200,53.4306,89.7504,1,0.875,1
201,53.8894,89.9453,1,0.75,1
202,54.3315,90.1642,1,0.875,1
203,54.7389,90.3886,1,0.75,1
204,55.1332,90.661,1,0.75,1
205,55.4915,90.9416,1,0.625,1
206,55.8359,91.2711,1,0.75,1
207,56.1585,91.6203,1,0.75,1
208,56.4485,91.9661,1,0.625,1
209,56.7224,92.356,1,0.625,1
210,56.9679,92.7649,1,0.625,1
211,57.1753,93.1713,1,0.625,1
212,57.37,93.6106,1,0.625,1
213,57.5399,94.0612,1,0.625,1
214,57.6844,94.508,1,0.625,1
215,57.8124,94.9816,1,0.625,1
216,57.9272,95.4469,1,0.625,1
217,58.0418,95.9249,1,0.625,1
218,58.1622,96.4022,1,0.625,1
219,58.2773,96.8844,1,0.625,1
220,58.3833,97.3804,1,0.625,1
221,58.4869,97.8881,1,0.625,1
222,58.5895,98.4035,1,0.625,1
223,58.6967,98.9283,1,0.625,1
224,58.814,99.4609,1,0.625,1
225,58.9404,100.002,1,0.625,1
226,59.0745,100.55,1,0.625,1
227,59.2098,101.111,1,0.625,1
228,59.3432,101.693,1,0.625,1
229,59.4798,102.285,1,0.625,1
230,59.6355,102.888,1,0.625,1
231,59.7988,103.5,1,0.625,1
232,59.9645,104.124,1,0.625,1
233,60.1342,104.754,1,0.625,1
234,60.3091,105.392,1,0.625,1
235,60.4808,106.035,1,0.625,1
236,60.6497,106.692,1,0.625,1
237,60.8191,107.364,1,0.625,1
238,60.9951,108.055,1,0.625,1
239,61.1772,108.761,1,0.625,1
240,61.3551,109.478,1,0.625,1
241,61.5276,110.2,1,0.625,1
242,61.6963,110.93,1,0.625,1
243,61.8741,111.669,1,0.625,1
244,62.0531,112.421,1,0.625,1
245,62.2342,113.189,1,0.625,1
246,62.4176,113.965,1,0.625,1
247,62.6002,114.755,1,0.625,1
248,62.7848,115.564,1,0.625,1
249,62.9737,116.373,1,0.75,1
250,63.1574,117.193,1,0.75,1
251,63.3346,118.012,1,0.75,1
252,63.5125,118.836,1,0.75,1
253,63.6913,119.666,1,0.75,1
254,63.8703,120.503,1,0.75,1
255,64.0574,121.343,1,0.75,1
256,64.2532,122.181,1,0.75,1
257,64.4498,123.022,1,0.75,1
258,64.6559,123.877,1,0.75,1
259,64.8645,124.724,1,0.75,1
260,65.0663,125.571,1,0.75,1
261,65.2621,126.423,1,0.75,1
262,65.459,127.275,1,0.75,1
263,65.6581,128.12,1,0.75,1
264,65.8648,128.941,1,0.75,1
265,66.0807,129.749,1,0.75,1
266,66.2984,130.557,1,0.75,1
267,66.5105,131.383,1,0.75,1
268,66.7227,132.225,1,0.75,1
269,66.9321,133.06,1,0.75,1
270,67.1355,133.868,1,0.75,1
271,67.334,134.663,1,0.75,1
272,67.5395,135.46,1,0.75,1
273,67.7482,136.262,1,0.75,1
274,67.9399,137.072,1,0.75,1
275,68.1266,137.873,1,0.625,1
276,68.3115,138.669,1,0.625,1
277,68.4874,139.482,1,0.5,1
278,68.6553,140.266,1,0.5,1
279,68.8308,141.067,1,0.375,1
