i,x,z,recall_naive,recall_naive_sc,recall_rerank
0,1.11022e-16,2.22045e-16,1,1,0
1,0.00349972,0.565351,1,1,0
2,0.00117395,1.12761,1,1,0
3,-0.0078317,1.68922,1,1,0
4,-0.0150813,2.2513,1,1,0
5,-0.0204007,2.81607,1,1,0
6,-0.0296935,3.39028,1,1,0
7,-0.0415274,3.96949,1,1,0
8,-0.055937,4.5562,1,1,0
9,-0.070081,5.15046,1,1,0
10,-0.087982,5.75129,1,1,0
11,-0.105471,6.36394,1,1,0
12,-0.123858,6.98963,1,1,0
13,-0.144474,7.6376,1,1,0.125
14,-0.164512,8.30211,1,1,0.125
15,-0.184475,8.97838,1,1,0.25
16,-0.207719,9.66192,1,1,0.375
17,-0.232999,10.3537,1,1,0.5
18,-0.253794,11.0642,1,1,0.5
19,-0.270128,11.7984,1,1,0.625
20,-0.282116,12.5587,1,1,0.875
21,-0.296212,13.3352,1,1,0.875
22,-0.31283,14.124,1,1,1
23,-0.327087,14.9276,1,1,1
24,-0.34512,15.7488,1,1,1
25,-0.358557,16.5817,1,1,1
26,-0.36611,17.4281,1,1,1
27,-0.368644,18.2881,1,1,1
28,-0.381287,19.1697,1,1,1
29,-0.393144,20.0706,1,1,1
30,-0.406558,20.9906,1,1,1
31,-0.419658,21.9249,1,1,1
32,-0.437561,22.8777,1,1,1
33,-0.450732,23.8492,1,1,1
34,-0.46864,24.825,1,1,1
35,-0.487074,25.8075,1,1,1
36,-0.505576,26.7949,1,1,1
37,-0.525875,27.7959,1,1,1
38,-0.546485,28.8031,1,1,1
39,-0.567916,29.8173,1,1,1
40,-0.588476,30.8382,1,1,1
41,-0.611385,31.8666,1,1,1
42,-0.634186,32.9025,1,1,1
43,-0.656257,33.9494,1,1,1
44,-0.679967,35.0044,1,1,1
45,-0.704629,36.0673,1,1,1
46,-0.731816,37.1299,1,1,1
47,-0.750946,38.2016,1,1,1
48,-0.763742,39.277,1,1,1
49,-0.786111,40.3536,1,1,1
50,-0.811981,41.431,1,1,1
51,-0.840559,42.5065,1,1,1
52,-0.870911,43.5805,1,1,1
53,-0.905996,44.6454,1,1,1
54,-0.944805,45.7073,1,1,1
55,-0.981509,46.7798,1,1,1
56,-1.0156,47.8582,1,1,1
57,-1.05011,48.9346,1,1,1
58,-1.0795,50.0106,1,1,1
59,-1.11251,51.0892,1,1,1
60,-1.1429,52.1595,1,1,1
61,-1.1775,53.2326,1,1,1
62,-1.21049,54.3065,1,1,1
63,-1.24879,55.3725,1,1,1
64,-1.28223,56.4438,1,1,1
65,-1.31941,57.5145,1,1,1
66,-1.35218,58.6006,1,1,1
67,-1.38718,59.6858,1,1,1
68,-1.41801,60.7685,1,1,1
69,-1.44456,61.8474,1,1,1
70,-1.46949,62.9251,1,1,1
71,-1.49992,64.004,1,1,1
72,-1.52809,65.0853,1,1,1
73,-1.55877,66.1697,1,1,1
74,-1.59332,67.2614,1,1,1
75,-1.62351,68.3497,1,1,1
76,-1.64924,69.4349,1,1,1
77,-1.67316,70.5223,1,1,1
78,-1.69757,71.606,1,1,1
79,-1.72404,72.6896,1,1,1
80,-1.7546,73.7689,1,1,1
81,-1.78443,74.8429,1,1,1
82,-1.81802,75.9117,1,1,1
83,-1.85227,76.9801,1,1,1
84,-1.89275,78.0446,1,1,1
85,-1.93169,79.115,1,1,1
86,-1.9716,80.1804,1,1,1
87,-2.00925,81.241,1,1,1
88,-2.04609,82.2956,1,1,1
89,-2.0822,83.3426,1,1,1
90,-2.11815,84.3815,1,1,1
91,-2.15226,85.4064,1,1,1
92,-2.18721,86.4172,1,1,1
93,-2.22492,87.4107,1,1,1
94,-2.26242,88.3826,1,1,1
95,-2.30369,89.3353,1,1,1
96,-2.34477,90.2656,1,1,1
97,-2.39013,91.1707,1,1,1
98,-2.43474,92.0552,1,1,1
99,-2.48672,92.9158,1,1,1
100,-2.53828,93.754,1,1,1
101,-2.59438,94.5671,1,1,1
102,-2.64959,95.3521,1,1,1
103,-2.70982,96.1106,1,1,1
104,-2.76931,96.8365,1,1,1
105,-2.82759,97.5331,1,1,1
106,-2.8853,98.1968,1,1,1
107,-2.94058,98.8327,1,1,1
108,-2.99255,99.4374,1,1,1
109,-3.04366,100.02,1,1,1
