i,x,z,recall_naive,recall_naive_sc,recall_rerank
179,145.008,114.583,1,0.75,0.5
180,145.799,115.217,1,0.75,0.375
181,146.597,115.856,1,0.75,0.5
182,147.397,116.497,1,0.75,0.625
183,148.198,117.136,1,0.75,0.625
184,149,117.777,1,0.625,0.5
185,149.8,118.416,1,0.625,0.5
186,150.597,119.051,1,0.75,0.375
187,151.393,119.685,1,0.75,0.375
188,152.191,120.32,1,0.75,0.375
189,152.99,120.956,1,0.75,0.5
190,153.789,121.591,1,0.625,0.5
191,154.589,122.227,1,0.625,0.5
192,155.388,122.861,1,0.625,0.5
193,156.192,123.499,1,0.75,0.375
194,156.999,124.141,1,0.75,0.375
195,157.808,124.784,1,0.625,0.375
196,158.615,125.427,1,0.625,0.5
197,159.424,126.072,1,0.625,0.5
198,160.224,126.711,1,0.625,0.5
199,161.024,127.352,1,0.625,0.5
200,161.823,127.992,1,0.625,0.375
201,162.625,128.635,1,0.625,0.5
202,163.426,129.277,1,0.625,0.5
203,164.228,129.921,1,0.625,0.5
204,165.028,130.564,1,0.625,0.5
205,165.83,131.209,1,0.625,0.5
206,166.638,131.859,1,0.5,0.5
207,167.447,132.509,1,0.5,0.625
208,168.255,133.158,1,0.625,0.5
209,169.063,133.806,1,0.625,0.5
210,169.862,134.447,1,0.5,0.5
211,170.66,135.086,1,0.5,0.625
212,171.452,135.72,1,0.5,0.625
213,172.245,136.355,1,0.5,0.625
214,173.036,136.987,1,0.5,0.625
215,173.825,137.616,1,0.5,0.625
216,174.612,138.244,1,0.5,0.625
217,175.401,138.87,1,0.5,0.625
218,176.19,139.496,1,0.5,0.75
219,176.981,140.122,1,0.5,0.625
220,177.774,140.747,1,0.5,0.625
221,178.564,141.369,1,0.5,0.875
222,179.444,142.06,1,0.375,0.75
223,180.322,142.747,1,0.5,0.75
224,181.202,143.433,1,0.5,0.875
225,182.079,144.117,1,0.375,0.75
226,182.959,144.802,1,0.375,0.875
227,183.838,145.485,1,0.375,0.875
228,184.717,146.168,1,0.375,0.875
229,185.6,146.854,1,0.375,0.875
