i,x,z,recall_naive,recall_naive_sc,recall_rerank
176,-94.2009,156.981,1,1,1
177,-94.8651,157.852,1,1,1
178,-95.5228,158.71,1,1,1
179,-96.1819,159.565,1,1,1
180,-96.8425,160.416,1,1,1
181,-97.4997,161.258,1,1,1
182,-98.1545,162.093,1,1,1
183,-98.8101,162.924,1,1,1
184,-99.462,163.747,1,1,1
185,-100.116,164.568,1,1,1
186,-100.768,165.384,1,1,1
187,-101.419,166.192,1,1,1
188,-102.064,166.991,1,1,1
189,-102.707,167.782,1,1,1
190,-103.352,168.573,1,1,1
191,-103.999,169.361,1,1,1
192,-104.644,170.146,1,1,1
193,-105.337,170.984,1,1,1
194,-106.026,171.815,1,1,1
195,-106.725,172.65,1,1,1
196,-107.372,173.418,1,1,1
197,-108.024,174.187,1,1,1
198,-108.682,174.959,1,1,1
199,-109.34,175.729,1,1,1
200,-110.006,176.507,1,1,1
201,-110.678,177.289,1,1,1
202,-111.35,178.069,1,1,1
203,-112.024,178.849,1,1,1
204,-112.696,179.624,1,1,1
205,-113.37,180.398,1,1,1
206,-114.05,181.179,1,1,1
207,-114.736,181.965,1,1,1
208,-115.424,182.75,1,1,1
209,-116.112,183.535,1,1,1
210,-116.799,184.316,1,1,1
211,-117.491,185.101,1,1,1
212,-118.187,185.889,1,1,1
213,-118.883,186.676,1,1,1
214,-119.579,187.46,1,1,1
215,-120.277,188.245,1,1,1
216,-120.98,189.03,1,1,1
217,-121.685,189.816,1,1,1
218,-122.392,190.601,1,1,1
219,-123.101,191.386,1,1,1
220,-123.815,192.174,1,1,1
221,-124.532,192.961,1,1,1
222,-125.252,193.748,1,1,1
223,-125.971,194.532,1,1,1
224,-126.682,195.304,1,1,1
225,-127.396,196.075,1,1,1
226,-128.124,196.857,1,1,1
227,-128.858,197.638,1,1,1
228,-129.592,198.416,1,1,1
229,-130.328,199.196,1,1,1
230,-131.076,199.988,1,1,1
231,-131.832,200.783,1,1,1
232,-132.523,201.507,1,1,1
233,-133.278,202.294,1,1,1
234,-134.036,203.08,1,1,1
235,-134.799,203.868,1,1,1
236,-135.496,204.586,1,1,1
237,-136.197,205.305,1,1,1
238,-136.902,206.025,1,1,1
239,-137.61,206.745,1,1,1
240,-138.318,207.463,1,1,1
241,-139.028,208.18,1,1,1
242,-139.74,208.895,1,1,1
243,-140.456,209.613,1,1,1
244,-141.178,210.334,1,1,1
245,-141.901,211.054,1,1,1
246,-142.626,211.775,1,1,1
247,-143.35,212.495,1,1,1
248,-144.073,213.21,1,1,1
249,-144.793,213.922,1,1,1
250,-145.513,214.632,1,1,1
251,-146.231,215.338,1,1,1
252,-146.946,216.039,1,1,1
253,-147.733,216.808,1,1,1
254,-148.516,217.572,1,1,1
255,-149.297,218.332,1,1,1
256,-150.076,219.087,1,1,1
257,-150.852,219.839,1,1,1
258,-151.626,220.586,1,1,1
259,-152.396,221.327,1,1,1
260,-153.163,222.065,1,1,1
261,-153.929,222.8,1,1,1
262,-154.693,223.531,1,1,1
263,-155.453,224.258,1,1,1
264,-156.211,224.981,1,1,1
265,-156.967,225.7,1,1,1
266,-157.725,226.42,1,0.875,1
267,-158.478,227.133,1,0.875,1
268,-159.225,227.84,1,0.875,1
269,-159.967,228.539,1,0.875,1
270,-160.703,229.232,1,0.75,1
271,-161.492,229.973,1,0.75,1
272,-162.266,230.698,1,0.875,1
273,-163.035,231.414,1,0.75,1
274,-163.792,232.119,1,0.875,1
275,-164.537,232.809,1,1,1
276,-165.273,233.488,1,1,1
277,-166.068,234.218,1,1,1
278,-166.859,234.941,1,1,1
279,-167.644,235.657,1,1,1
280,-168.419,236.359,1,1,1
281,-169.174,237.04,1,1,1
282,-169.923,237.709,1,1,1
283,-170.674,238.372,1,1,1
284,-171.484,239.08,1,1,1
285,-172.24,239.736,1,1,1
286,-173.041,240.43,1,1,1
287,-173.843,241.121,1,1,1
288,-174.647,241.808,1,1,1
289,-175.445,242.485,1,1,1
290,-176.236,243.151,1,1,1
291,-177.022,243.809,1,1,1
292,-177.802,244.46,1,1,1
293,-178.57,245.102,1,1,1
294,-179.378,245.776,1,1,1
295,-180.167,246.433,1,1,1
296,-180.936,247.076,1,0.875,1
297,-181.731,247.744,1,0.75,1
298,-182.498,248.398,1,0.75,1
299,-183.281,249.082,1,0.625,1
300,-184.024,249.752,1,0.625,1
301,-184.766,250.451,1,0.5,1
302,-185.494,251.183,1,0.5,1
303,-186.186,251.946,1,0.5,1
304,-186.826,252.742,1,0.375,1
305,-187.402,253.571,1,0.5,1
306,-187.911,254.441,1,0.5,1
307,-188.35,255.375,1,0.5,1
308,-188.681,256.326,1,0.75,1
309,-188.907,257.344,1,0.75,1
310,-189,258.371,1,0.75,1
311,-188.949,259.396,1,0.75,1
312,-188.76,260.382,1,0.5,1
313,-188.431,261.349,1,0.375,1
314,-187.981,262.244,1,0.25,1
