i,x,z,recall_naive,recall_naive_sc,recall_rerank
172,-58.2223,161.522,1,0,1
173,-57.9445,162.585,1,0,1
174,-57.6864,163.553,1,0,1
175,-57.4228,164.521,1,0,1
176,-57.1539,165.488,1,0,1
177,-56.8785,166.458,1,0,1
178,-56.5976,167.426,1,0,1
179,-56.3104,168.393,1,0,1
180,-56.0163,169.36,1,0,1
181,-55.7144,170.329,1,0,1
182,-55.4061,171.293,1,0,1
183,-55.0911,172.253,1,0,1
184,-54.7662,173.217,1,0,1
185,-54.432,174.185,1,0,1
186,-54.0906,175.147,1,0,1
187,-53.742,176.103,1,0,1
188,-53.3855,177.054,1,0,1
189,-53.0196,178.005,1,0,1
190,-52.6468,178.948,1,0,1
191,-52.2665,179.883,1,0,1
192,-51.877,180.814,1,0,1
193,-51.4783,181.738,1,0,1
194,-51.0703,182.653,1,0,1
195,-50.652,183.563,1,0,1
196,-50.1815,184.554,1,0,1
197,-49.7001,185.536,1,0,1
198,-49.2074,186.51,1,0,1
199,-48.7053,187.472,1,0,1
200,-48.1924,188.425,1,0,1
201,-47.6692,189.368,1,0,1
202,-47.135,190.305,1,0,1
203,-46.591,191.231,1,0,1
204,-46.0368,192.148,1,0,1
205,-45.4711,193.058,1,0,1
206,-44.8942,193.959,1,0,1
207,-44.3065,194.852,1,0,1
208,-43.7095,195.732,1,0,1
209,-43.0998,196.604,1,0,1
210,-42.4788,197.467,1,0,1
211,-41.8471,198.32,1,0,1
212,-41.2059,199.161,1,0,1
213,-40.5541,199.993,1,0,1
214,-39.8923,200.813,1,0,1
215,-39.2205,201.623,1,0,1
216,-38.5398,202.422,1,0,1
217,-37.853,203.206,1,0,1
218,-37.1576,203.979,1,0,1
219,-36.4554,204.74,1,0,1
220,-35.7472,205.49,1,0,1
221,-35.0337,206.228,1,0,1
222,-34.3145,206.958,1,0,1
223,-33.5918,207.677,1,0,1
224,-32.8655,208.388,1,0,1
225,-32.1376,209.092,1,0,1
226,-31.4073,209.79,1,0,1
227,-30.6759,210.481,1,0,1
228,-29.9419,211.167,1,0,1
229,-29.2051,211.848,1,0,1
230,-28.4666,212.525,1,0,1
231,-27.6604,213.257,1,0,1
232,-26.917,213.926,1,0,1
233,-26.1068,214.654,1,0.125,1
234,-25.2968,215.381,1,0.125,1
235,-24.4881,216.109,1,0.125,1
236,-23.6827,216.838,1,0.25,1
237,-22.8789,217.569,1,0.25,1
238,-22.0791,218.303,1,0.375,1
239,-21.2851,219.038,1,0.375,1
240,-20.4952,219.774,1,0.5,1
241,-19.7098,220.513,1,0.5,1
242,-18.9305,221.256,1,0.625,1
243,-18.1587,222.001,1,0.625,1
244,-17.3932,222.752,1,0.75,1
245,-16.6362,223.506,1,0.75,1
246,-15.8884,224.266,1,0.875,1
247,-15.1509,225.031,1,0.875,1
248,-14.4232,225.804,1,0.875,1
249,-13.707,226.583,1,1,1
250,-13.0034,227.369,1,1,1
251,-12.3112,228.163,1,1,1
252,-11.629,228.967,1,1,1
253,-10.9586,229.78,1,1,1
254,-10.2997,230.604,1,1,1
255,-9.6559,231.439,1,1,1
256,-9.0252,232.288,1,1,1
257,-8.4079,233.153,1,1,1
258,-7.8093,234.029,1,1,1
259,-7.2283,234.918,1,1,1
260,-6.6662,235.822,1,0.625,1
261,-6.1226,236.743,1,0.375,1
262,-5.6003,237.676,1,0.125,1
263,-5.0975,238.627,1,0,1
264,-4.6165,239.591,1,0,1
265,-4.1561,240.571,1,0,1
266,-3.7198,241.561,1,0,1
267,-3.3054,242.565,1,0,1
268,-2.9453,243.499,1,0,1
269,-2.6047,244.444,1,0,1
270,-2.2846,245.398,1,0,1
271,-1.9835,246.366,1,0,1
272,-1.7022,247.343,1,0,1
273,-1.4381,248.327,1,0,1
274,-1.1884,249.32,1,0,1
275,-0.9495,250.321,1,0,1
276,-0.7205,251.326,1,0,1
277,-0.5011,252.337,1,0,1
278,-0.2899,253.359,1,0,1
279,-0.0878,254.384,1,0,1
280,0.1054,255.414,1,0,1
281,0.2913,256.449,1,0,1
282,0.4712,257.49,1,0,1
283,0.6448,258.535,1,0,1
284,0.8127,259.584,1,0,1
285,0.976,260.636,1,0,1
286,1.1358,261.695,1,0,1
287,1.2922,262.757,1,0,1
288,1.4448,263.823,1,0,1
289,1.5931,264.896,1,0,1
290,1.7374,265.97,1,0,1
291,1.8784,267.052,1,0,1
292,2.0156,268.137,1,0,1
293,2.1484,269.226,1,0,1
294,2.2653,270.22,1,0,1
295,2.3788,271.218,1,0,1
296,2.4886,272.217,1,0,1
297,2.5949,273.221,1,0,1
298,2.6973,274.229,1,0,1
299,2.7959,275.24,1,0,1
300,2.8911,276.254,1,0,1
301,2.9828,277.271,1,0,1
302,3.0712,278.291,1,0,1
303,3.1564,279.315,1,0,1
304,3.2389,280.342,1,0,1
305,3.3191,281.372,1,0,1
306,3.3975,282.406,1,0,1
307,3.4737,283.442,1,0,1
308,3.5478,284.482,1,0,1
309,3.6196,285.526,1,0,1
310,3.6895,286.574,1,0,1
311,3.7575,287.623,1,0,1
312,3.8239,288.675,1,0,1
313,3.8884,289.73,1,0,1
314,3.9511,290.79,1,0,1
315,4.0122,291.85,1,0,1
316,4.0715,292.912,1,0,1
317,4.1291,293.979,1,0,1
318,4.1847,295.049,1,0,1
319,4.2384,296.116,1,0,1
320,4.29,297.179,1,0,1
321,4.3396,298.24,1,0,1
322,4.3872,299.298,1,0,1
323,4.4331,300.357,1,0,1
324,4.4771,301.412,1,0,1
325,4.5193,302.46,1,0,1
326,4.5596,303.508,1,0,1
327,4.5981,304.555,1,0,1
328,4.6347,305.6,1,0,1
329,4.6695,306.639,1,0,1
330,4.7026,307.676,1,0,1
331,4.7341,308.71,1,0,1
332,4.7638,309.746,1,0,1
333,4.7916,310.775,1,0,1
334,4.818,311.802,1,0,1
335,4.8427,312.825,1,0,1
336,4.8653,313.848,1,0,1
337,4.886,314.867,1,0,1
338,4.9047,315.883,1,0,1
339,4.9212,316.896,1,0,1
340,4.9354,317.908,1,0,1
341,4.9474,318.914,1,0,1
342,4.9574,319.918,1,0,1
343,4.9657,320.919,1,0,1
344,4.9731,322.017,1,0,1
345,4.979,323.11,1,0,1
346,4.9834,324.203,1,0,1
347,4.9869,325.292,1,0,1
348,4.9898,326.378,1,0,1
349,4.9926,327.459,1,0,1
350,4.9952,328.54,1,0,1
351,4.9985,329.623,1,0,1
352,5.0036,330.705,1,0,1
353,5.011,331.787,1,0,1
354,5.021,332.866,1,0,1
355,5.0345,333.947,1,0,1
356,5.0539,335.04,1,0,1
357,5.0786,336.114,1,0,1
358,5.1089,337.19,1,0,1
359,5.1443,338.281,1,0,1
360,5.1841,339.363,1,0,1
361,5.2278,340.443,1,0,1
362,5.2742,341.525,1,0,1
363,5.3221,342.608,1,0,1
364,5.3706,343.693,1,0,1
365,5.4195,344.779,1,0,1
366,5.4682,345.866,1,0,1
367,5.517,346.95,1,0,1
368,5.5666,348.036,1,0,1
369,5.6169,349.126,1,0,1
370,5.6665,350.208,1,0,1
371,5.7144,351.295,1,0,1
372,5.7593,352.379,1,0,1
373,5.8015,353.459,1,0,1
374,5.8419,354.538,1,0,1
375,5.8797,355.61,1,0,1
376,5.9157,356.683,1,0,1
377,5.9502,357.754,1,0,1
378,5.9841,358.818,1,0,1
379,6.0177,359.877,1,0,1
380,6.0517,360.938,1,0,1
381,6.0856,361.992,1,0,1
382,6.12,363.044,1,0,1
383,6.155,364.091,1,0,1
384,6.1902,365.133,1,0,1
385,6.2255,366.173,1,0,1
386,6.2608,367.211,1,0,1
387,6.2955,368.241,1,0,1
388,6.329,369.263,1,0,1
389,6.3612,370.282,1,0,1
390,6.3918,371.29,1,0,1
391,6.4238,372.378,1,0,1
392,6.4543,373.45,1,0,1
393,6.4832,374.507,1,0,1
394,6.5106,375.547,1,0,1
395,6.5365,376.569,1,0,1
396,6.5609,377.57,1,0,1
397,6.5858,378.635,1,0,1
398,6.6092,379.681,1,0,1
399,6.6314,380.708,1,0,1
400,6.6525,381.717,1,0,1
401,6.6727,382.717,1,0,1
402,6.6934,383.774,1,0,1
403,6.7131,384.811,1,0,1
404,6.7317,385.83,1,0,1
405,6.7499,386.83,1,0,1
406,6.7694,387.872,1,0,1
407,6.7892,388.89,1,0,1
408,6.8119,389.945,1,0,1
409,6.8392,390.969,1,0,1
