i,x,z,recall_naive,recall_naive_sc,recall_rerank
0,1.11022e-16,-2.22045e-16,1,1,1
1,0.00554252,1.52897,1,1,1
2,0.00566428,3.05241,1,1,1
3,0.00326721,4.56632,1,1,1
4,-0.00664887,6.07941,1,1,1
5,-0.0184318,7.6153,1,1,1
6,-0.0317161,9.09912,1,1,1
7,-0.04481,10.5993,1,1,1
8,-0.0619396,12.0942,1,1,1
9,-0.0819517,13.5874,1,1,1
10,-0.10778,15.0759,1,1,1
11,-0.138347,16.5604,1,1,1
12,-0.172757,18.0428,1,1,1
13,-0.205848,19.5164,1,1,1
14,-0.238687,20.9897,1,1,1
15,-0.267875,22.4516,1,1,1
16,-0.297799,23.9087,1,1,1
17,-0.32869,25.361,1,1,1
18,-0.3584,26.802,1,1,1
19,-0.388164,28.2351,1,1,1
20,-0.415687,29.6606,1,1,1
21,-0.442803,31.082,1,1,1
22,-0.467863,32.4934,1,1,1
23,-0.493712,33.8879,1,1,1
24,-0.523018,35.272,1,1,1
25,-0.554867,36.6397,1,1,1
26,-0.583161,37.996,1,1,1
27,-0.611006,39.3302,1,1,1
28,-0.635159,40.654,1,1,1
29,-0.655974,41.9572,1,1,1
30,-0.673187,43.2396,1,1,1
31,-0.686542,44.5029,1,1,1
32,-0.693588,45.7441,1,1,1
33,-0.695957,46.9775,1,1,1
34,-0.700199,48.1977,1,1,1
35,-0.697523,49.4074,1,1,1
36,-0.690361,50.6055,1,1,1
37,-0.67597,51.7913,1,1,1
38,-0.647375,52.9688,1,1,1
39,-0.609462,54.133,1,1,1
40,-0.560062,55.2811,1,1,1
41,-0.49341,56.4122,1,1,1
42,-0.411112,57.5311,1,1,1
43,-0.304374,58.6401,1,1,1
44,-0.177259,59.7316,1,1,1
45,-0.0302795,60.8073,1,1,1
46,0.141416,61.8684,1,1,1
47,0.342924,62.9129,1,1,1
48,0.568852,63.9407,1,1,1
49,0.822607,64.949,1,1,1
50,1.0986,65.9348,1,1,1
51,1.40058,66.9039,1,1,1
52,1.71945,67.8562,1,1,1
53,2.07087,68.7916,1,1,1
54,2.44516,69.7024,1,1,1
55,2.83665,70.5884,1,1,1
56,3.25365,71.4527,1,1,1
57,3.69718,72.3001,1,1,1
58,4.16577,73.1322,1,1,1
59,4.6564,73.9513,1,1,1
60,5.17192,74.7404,1,1,1
61,5.70742,75.5014,1,1,1
62,6.26739,76.2359,1,1,1
63,6.85297,76.9419,1,1,1
64,7.46976,77.6271,1,1,1
65,8.10284,78.2841,1,1,1
66,8.7508,78.9059,1,1,1
67,9.42095,79.5064,1,1,1
68,10.1094,80.0816,1,1,1
69,10.8234,80.6343,1,1,1
70,11.554,81.1617,1,1,1
71,12.2982,81.6754,1,1,1
72,13.0662,82.1784,1,1,1
73,13.8564,82.6605,1,1,1
74,14.6709,83.1028,1,1,1
75,15.5049,83.5264,1,1,1
76,16.3519,83.906,1,1,1
77,17.2188,84.2663,1,1,1
78,18.1013,84.5888,1,1,1
79,19.0035,84.8737,1,1,1
80,19.9203,85.1229,1,1,1
81,20.8532,85.3395,1,1,1
82,21.7962,85.5159,1,1,1
83,22.7498,85.654,1,1,1
84,23.7041,85.7577,1,1,1
85,24.6634,85.8388,1,1,1
86,25.6262,85.8841,1,1,1
87,26.5967,85.9035,1,1,1
88,27.5777,85.9082,1,1,1
89,28.5606,85.892,1,1,1
90,29.5391,85.86,1,1,1
91,30.5206,85.8096,1,1,1
92,31.5061,85.7461,1,1,1
93,32.4955,85.6697,1,1,1
94,33.4852,85.5875,1,1,1
95,34.4757,85.5058,1,1,1
96,35.4739,85.4193,1,1,1
97,36.4741,85.3328,1,1,1
98,37.4762,85.2435,1,1,1
99,38.4794,85.1509,1,1,1
100,39.4879,85.0471,1,1,1
101,40.5049,84.9433,1,1,1
102,41.5231,84.8401,1,1,1
103,42.5415,84.7334,1,1,1
104,43.5632,84.6264,1,1,1
105,44.5916,84.5127,1,1,1
106,45.6239,84.3962,1,1,1
107,46.6583,84.2803,1,1,1
108,47.6986,84.1597,1,1,1
109,48.7426,84.038,1,1,1
110,49.7977,83.9118,1,1,1
111,50.8513,83.7804,1,1,1
112,51.9071,83.6459,1,1,1
113,52.9628,83.5087,1,1,1
114,54.0213,83.3701,1,1,1
115,55.0895,83.2312,1,1,1
116,56.1622,83.0967,1,1,1
117,57.2365,82.9632,1,1,1
118,58.3122,82.8319,1,1,1
119,59.3943,82.6983,1,1,1
120,60.4841,82.5644,1,1,1
121,61.5895,82.4201,1,1,1
122,62.692,82.2764,1,1,1
123,63.8016,82.1266,1,1,1
124,64.903,81.9717,1,1,1
125,66.0067,81.8185,1,1,1
126,67.1154,81.6713,1,1,1
127,68.2284,81.5274,1,1,1
128,69.3529,81.3883,1,1,1
129,70.485,81.2487,1,1,1
130,71.6212,81.1102,1,1,1
131,72.7531,80.9727,1,1,1
132,73.8891,80.8314,1,1,1
133,75.0276,80.6896,1,1,1
134,76.1778,80.5475,1,1,1
135,77.3395,80.4029,1,1,1
136,78.4968,80.2607,1,1,1
137,79.6539,80.1224,1,1,1
138,80.8144,79.9819,1,1,1
139,81.9887,79.8408,1,1,1
140,83.1491,79.7018,1,1,1
141,84.3116,79.5606,1,1,1
142,85.4813,79.4186,1,1,1
143,86.6557,79.2742,1,1,1
144,87.8431,79.133,1,1,1
145,89.0303,78.9918,1,1,1
146,90.2392,78.85,1,1,1
147,91.4527,78.7121,1,1,1
148,92.6664,78.5734,1,1,1
149,93.8874,78.4378,1,1,1
150,95.1091,78.3026,1,1,1
151,96.338,78.1715,1,1,1
152,97.5694,78.0576,1,1,1
153,98.8021,77.9398,1,1,1
154,100.043,77.8218,1,1,1
155,101.289,77.6999,1,1,1
156,102.538,77.5777,1,1,1
157,103.785,77.4504,1,1,1
158,105.034,77.3194,1,1,1
159,106.283,77.1826,1,1,1
160,107.533,77.0473,1,1,1
161,108.774,76.9044,1,1,1
162,110.002,76.7638,1,1,1
163,111.239,76.6079,1,1,1
164,112.462,76.437,1,1,1
165,113.691,76.2531,1,1,1
166,114.911,76.049,1,1,1
167,116.13,75.8208,1,1,1
168,117.341,75.5813,1,1,1
169,118.541,75.3166,1,1,1
170,119.728,75.0427,1,1,1
171,120.904,74.7513,1,1,1
172,122.08,74.4473,1,1,1
173,123.263,74.127,1,1,1
174,124.438,73.7857,1,1,1
175,125.597,73.4272,1,1,1
176,126.746,73.048,1,1,1
177,127.883,72.6519,1,1,1
178,129.015,72.2359,1,1,1
179,130.138,71.8066,1,1,1
180,131.254,71.3617,1,1,1
181,132.355,70.9045,1,1,1
182,133.442,70.4285,1,1,1
183,134.529,69.9313,1,1,1
184,135.604,69.4146,1,1,1
185,136.676,68.8803,1,1,1
186,137.742,68.3285,1,1,1
187,138.81,67.7536,1,1,1
188,139.872,67.1622,1,1,1
189,140.927,66.5467,1,1,1
190,141.967,65.9119,1,1,1
191,143.003,65.2539,1,1,1
192,144.031,64.5748,1,1,1
193,145.045,63.8755,1,1,1
194,146.054,63.1516,1,1,1
195,147.051,62.4063,1,1,1
