variant,N,build_s,query_us,checksum
manifold_off,1000,0.000052,0.1168,7c22f0c3aa48b8fe
manifold_off,10000,0.000713,0.1811,86dbe8cd7146fcd6
manifold_off,100000,0.007642,0.2733,1c27317ed74c6e1c
manifold_off,1000000,0.097339,0.8350,487b4ee37d1fa458
manifold_off,10000000,1.508612,1.5209,9aaa7417bf04dba3
