source,leaf_max_size,k,threads,n_points,build_s,query_us
kitti,10,20,1,124553,0.0119666,1.8897
kitti,25,1,1,124553,0.0095868,0.5801
kitti,25,5,1,124553,0.0095951,0.87195
kitti,25,20,1,124553,0.0095397,1.9767
kitti,10,1,1,124656,0.0119755,0.5863
kitti,10,5,1,124656,0.0116025,0.9693
kitti,10,20,1,124656,0.0115976,1.95765
kitti,25,1,1,124656,0.0096665,0.59445
kitti,25,5,1,124656,0.0098783,0.9253
kitti,25,20,1,124656,0.009884,1.8506
kitti,10,1,1,124644,0.0118286,0.5963
kitti,10,5,1,124644,0.0116938,0.91475
kitti,10,20,1,124644,0.0116734,1.98385
kitti,25,1,1,124644,0.0095568,0.53395
kitti,25,5,1,124644,0.0096169,0.8298
kitti,25,20,1,124644,0.0098224,1.72445
kitti,10,1,1,124526,0.0116797,0.58495
kitti,10,5,1,124526,0.0122467,1.00585
kitti,10,20,1,124526,0.0114464,1.96135
kitti,25,1,1,124526,0.0094071,0.52035
kitti,25,5,1,124526,0.0097312,1.0161
kitti,25,20,1,124526,0.0097955,1.92945
kitti,10,1,1,124520,0.0115134,0.7338
kitti,10,5,1,124520,0.0117073,1.00025
kitti,10,20,1,124520,0.0114075,1.8869
kitti,25,1,1,124520,0.0094367,0.54955
kitti,25,5,1,124520,0.0101649,0.99145
kitti,25,20,1,124520,0.0092637,1.8661
kitti,10,1,1,124600,0.0115584,0.74545
kitti,10,5,1,124600,0.0113288,0.92125
kitti,10,20,1,124600,0.0113019,2.0051
kitti,25,1,1,124600,0.0092715,0.53655
kitti,25,5,1,124600,0.0093844,0.8776
kitti,25,20,1,124600,0.009367,1.85975
kitti,10,1,1,124550,0.0114976,0.6615
kitti,10,5,1,124550,0.0119952,1.2066
kitti,10,20,1,124550,0.0121083,2.1166
kitti,25,1,1,124550,0.0094216,0.58315
kitti,25,5,1,124550,0.0094455,0.9623
kitti,25,20,1,124550,0.0093307,1.81355
kitti,10,1,1,124242,0.0115536,0.70575
kitti,10,5,1,124242,0.0120681,1.04155
kitti,10,20,1,124242,0.0114776,2.17855
kitti,25,1,1,124242,0.0093219,0.6397
kitti,25,5,1,124242,0.0095122,0.9664
kitti,25,20,1,124242,0.0093477,1.94025
kitti,10,1,1,124163,0.0119523,0.69475
kitti,10,5,1,124163,0.0122053,1.1258
kitti,10,20,1,124163,0.0117476,2.2636
kitti,25,1,1,124163,0.0102904,0.6045
kitti,25,5,1,124163,0.0096261,0.87235
kitti,25,20,1,124163,0.0093361,1.69935
kitti,10,1,1,124018,0.0117567,0.6294
kitti,10,5,1,124018,0.0118585,1.11515
kitti,10,20,1,124018,0.0119259,2.15245
kitti,25,1,1,124018,0.0097732,0.54915
kitti,25,5,1,124018,0.0099536,0.825
kitti,25,20,1,124018,0.0094332,1.74555
kitti,10,1,1,124134,0.0170873,0.6581
kitti,10,5,1,124134,0.0112473,0.98525
kitti,10,20,1,124134,0.0118492,2.2703
kitti,25,1,1,124134,0.0100916,0.768
kitti,25,5,1,124134,0.0108776,0.95365
kitti,25,20,1,124134,0.0095549,2.52005
kitti,10,1,1,124140,0.0114355,1.25705
kitti,10,5,1,124140,0.0175221,1.23445
kitti,10,20,1,124140,0.0111547,2.1011
kitti,25,1,1,124140,0.0092784,0.64365
kitti,25,5,1,124140,0.0092049,0.87075
kitti,25,20,1,124140,0.0096242,1.71495
kitti,10,1,1,123932,0.013616,0.6132
kitti,10,5,1,123932,0.0113851,1.17195
kitti,10,20,1,123932,0.012667,2.0469
kitti,25,1,1,123932,0.0094801,0.6446
kitti,25,5,1,123932,0.0093444,0.80195
kitti,25,20,1,123932,0.0097169,2.391
kitti,10,1,1,123826,0.012329,0.90585
kitti,10,5,1,123826,0.0143771,1.10905
kitti,10,20,1,123826,0.012206,2.049
kitti,25,1,1,123826,0.0105129,0.90345
kitti,25,5,1,123826,0.0097861,0.8641
kitti,25,20,1,123826,0.0111024,1.86055
kitti,10,1,1,123502,0.0115501,0.7307
kitti,10,5,1,123502,0.0120935,1.0665
kitti,10,20,1,123502,0.0122757,2.3264
kitti,25,1,1,123502,0.0096222,0.7206
kitti,25,5,1,123502,0.0095827,0.86865
kitti,25,20,1,123502,0.0095949,1.79235
kitti,10,1,1,123006,0.0114911,0.6611
kitti,10,5,1,123006,0.0111473,0.94055
kitti,10,20,1,123006,0.0113521,1.96095
kitti,25,1,1,123006,0.0098732,0.7202
kitti,25,5,1,123006,0.0094996,1.17375
kitti,25,20,1,123006,0.0094468,1.823
kitti,10,1,1,122749,0.0111902,0.7466
kitti,10,5,1,122749,0.0116242,1.0514
kitti,10,20,1,122749,0.0116541,2.136
kitti,25,1,1,122749,0.0096739,0.574
kitti,25,5,1,122749,0.0093871,0.8598
kitti,25,20,1,122749,0.0096862,3.87005
kitti,10,1,1,122379,0.012744,0.5942
kitti,10,5,1,122379,0.011944,1.0213
kitti,10,20,1,122379,0.011883,2.51275
kitti,25,1,1,122379,0.0095543,0.58275
kitti,25,5,1,122379,0.0102133,0.81785
kitti,25,20,1,122379,0.010187,1.78075
kitti,10,1,1,121738,0.0124306,0.6652
kitti,10,5,1,121738,0.0112763,0.96445
kitti,10,20,1,121738,0.0112065,1.9587
kitti,25,1,1,121738,0.0094163,0.51825
kitti,25,5,1,121738,0.0093668,0.8553
kitti,25,20,1,121738,0.0101801,1.71675
kitti,10,1,1,121497,0.0125761,0.58335
kitti,10,5,1,121497,0.0120835,0.99825
kitti,10,20,1,121497,0.0117785,2.2355
kitti,25,1,1,121497,0.009876,0.6618
kitti,25,5,1,121497,0.0092551,0.7888
kitti,25,20,1,121497,0.0092149,1.6967
kitti,10,1,1,121148,0.012549,0.732
kitti,10,5,1,121148,0.0118741,0.99635
kitti,10,20,1,121148,0.011527,1.88485
kitti,25,1,1,121148,0.0092639,0.55465
