source,leaf_max_size,k,threads,n_points,build_s,query_us
kitti,10,20,1,124553,0.0102048,1.8653
kitti,25,1,1,124553,0.0084737,0.5211
kitti,25,5,1,124553,0.0083978,0.7913
kitti,25,20,1,124553,0.0084569,1.71065
kitti,10,1,1,124656,0.0103017,0.6168
kitti,10,5,1,124656,0.0102385,0.9235
kitti,10,20,1,124656,0.0102309,1.9073
kitti,25,1,1,124656,0.0084813,0.5401
kitti,25,5,1,124656,0.0084965,0.8672
kitti,25,20,1,124656,0.0084719,1.70675
kitti,10,1,1,124644,0.0105941,0.62125
kitti,10,5,1,124644,0.0102672,0.91145
kitti,10,20,1,124644,0.010282,1.9885
kitti,25,1,1,124644,0.0088482,0.5802
kitti,25,5,1,124644,0.008647,0.95835
kitti,25,20,1,124644,0.008533,1.8224
kitti,10,1,1,124526,0.0103415,0.60945
kitti,10,5,1,124526,0.010279,0.9189
kitti,10,20,1,124526,0.0101459,1.99095
kitti,25,1,1,124526,0.0084688,0.55925
kitti,25,5,1,124526,0.0083536,0.86885
kitti,25,20,1,124526,0.0086773,1.72495
kitti,10,1,1,124520,0.0099375,0.5981
kitti,10,5,1,124520,0.010025,0.9104
kitti,10,20,1,124520,0.0100236,1.8837
kitti,25,1,1,124520,0.0083357,0.57605
kitti,25,5,1,124520,0.0082454,0.81825
kitti,25,20,1,124520,0.008323,1.71175
kitti,10,1,1,124600,0.0100232,0.5878
kitti,10,5,1,124600,0.0100551,0.9791
kitti,10,20,1,124600,0.0101059,1.85985
kitti,25,1,1,124600,0.0082655,0.5416
kitti,25,5,1,124600,0.0082658,0.82165
kitti,25,20,1,124600,0.0082601,1.7415
kitti,10,1,1,124550,0.0100664,0.67075
kitti,10,5,1,124550,0.0100693,0.9704
kitti,10,20,1,124550,0.0101337,2.0675
kitti,25,1,1,124550,0.0084787,0.5952
kitti,25,5,1,124550,0.0084797,0.91735
kitti,25,20,1,124550,0.0082931,1.7615
kitti,10,1,1,124242,0.0100645,0.65635
kitti,10,5,1,124242,0.010013,0.96005
kitti,10,20,1,124242,0.0099525,1.92185
kitti,25,1,1,124242,0.0083391,0.57215
kitti,25,5,1,124242,0.0085796,0.95875
kitti,25,20,1,124242,0.0082896,1.8372
kitti,10,1,1,124163,0.0104675,0.6268
kitti,10,5,1,124163,0.0101629,0.97595
kitti,10,20,1,124163,0.0103037,2.05945
kitti,25,1,1,124163,0.0086623,0.5886
kitti,25,5,1,124163,0.0083488,0.8576
kitti,25,20,1,124163,0.0084065,1.83215
kitti,10,1,1,124018,0.0104172,0.59175
kitti,10,5,1,124018,0.0104428,0.96495
kitti,10,20,1,124018,0.0100359,2.08085
kitti,25,1,1,124018,0.0086522,0.5301
kitti,25,5,1,124018,0.0087679,0.8573
kitti,25,20,1,124018,0.008613,1.81205
kitti,10,1,1,124134,0.0101306,0.5655
kitti,10,5,1,124134,0.0101725,0.88465
kitti,10,20,1,124134,0.0099907,1.826
kitti,25,1,1,124134,0.0082832,0.49415
kitti,25,5,1,124134,0.0083974,0.80365
kitti,25,20,1,124134,0.0084034,1.6846
kitti,10,1,1,124140,0.0101914,0.5743
kitti,10,5,1,124140,0.0100573,0.9942
kitti,10,20,1,124140,0.009789,1.96785
kitti,25,1,1,124140,0.0084413,0.52065
kitti,25,5,1,124140,0.0081971,0.91515
kitti,25,20,1,124140,0.008367,1.59785
kitti,10,1,1,123932,0.0100682,0.552
kitti,10,5,1,123932,0.0102293,0.87415
