method,frame,update_ms,query_ms,live,phys,rss_kb_end,rss_kb_peak
forest,89,53.3813,1.9307,7231264,10913972,2195800,2195864
forest,90,108.5907,1.7638,7235340,11034937,2195800,2195864
forest,91,51.8273,2.2179,7237939,11156270,2195800,2195864
forest,92,67.0015,1.9096,7237472,11277770,2195800,2195864
forest,93,48.2072,2.5339,7240603,11399365,2195800,2195864
forest,94,60.0908,2.8408,7241060,11520983,2195800,2195864
forest,95,209.6994,2.1952,7244327,11642654,2195800,2195864
forest,96,59.6050,1.8648,7246251,11764414,2195800,2195864
forest,97,74.0840,2.5753,7245807,11886365,2195800,2195864
forest,98,59.0676,3.0206,7246168,12008599,2195800,2195864
forest,99,109.2285,2.1838,7241916,12131091,2195800,2195864
forest,100,58.9657,2.8297,7240992,12253774,2195800,2195864
forest,101,73.4357,2.9245,7240092,12376435,2195800,2195864
forest,102,57.3392,2.7807,7245362,12499224,2195800,2195864
forest,103,871.4973,1.6859,7247590,12622111,2195800,2195864
forest,104,58.8490,2.1429,7251281,12745119,2195800,2195864
forest,105,72.4268,1.9885,7272416,12868331,2195800,2195864
forest,106,51.7997,2.0561,7304549,12991508,2195800,2195864
forest,107,103.6882,1.7934,7336435,13114752,2195800,2195864
forest,108,52.9869,2.8314,7361130,13237898,2195800,2195864
forest,109,211.1710,4.1345,7380062,13361090,2195800,2195864
forest,110,83.0020,1.8139,7384306,13484262,2195800,2195864
forest,111,68.4298,2.1543,7377450,13607422,2195800,2195864
forest,112,204.7753,1.4413,7365383,13730448,2195800,2195864
forest,113,58.1109,1.8739,7351206,13853178,2195800,2195864
forest,114,72.8516,1.7348,7339368,13975799,2195800,2195864
forest,115,58.1882,1.8190,7330402,14098437,2195800,2195864
forest,116,106.8300,2.7457,7324654,14221014,2195800,2195864
forest,117,55.1242,2.5807,7319559,14343422,2195800,2195864
forest,118,69.7178,2.4342,7323107,14465416,2195800,2195864
forest,119,53.9654,2.2794,7312610,14587096,2195800,2195864
forest,120,394.1767,2.4057,7302181,14708540,2195800,2195864
forest,121,53.2347,1.7341,7294841,14830132,2195800,2195864
forest,122,68.1289,1.6299,7291398,14951583,2195800,2195864
forest,123,49.1658,2.8085,7286975,15073110,2195800,2195864
forest,124,60.5249,2.5045,7289407,15194760,2195800,2195864
forest,125,111.7872,2.4428,7303712,15316363,2195800,2195864
forest,126,62.8697,1.8800,7320660,15437892,2195800,2195864
forest,127,73.9622,2.3641,7335561,15558761,2195800,2195864
forest,128,55.9272,2.6372,7341348,15679062,2195800,2195864
forest,129,183.2264,1.8489,7335662,15797913,2195800,2195864
forest,130,55.8027,2.4083,7328004,15915990,2195800,2195864
forest,131,72.4838,1.8302,7316680,16032968,2195800,2195864
forest,132,54.0187,2.1268,7300685,16148293,2195800,2195864
forest,133,103.0101,1.7916,7282999,16263026,2195800,2195864
forest,134,49.6389,2.4219,7263804,16378243,2195800,2195864
forest,135,61.0340,2.1517,7247240,16492705,2195800,2195864
forest,136,73.1040,2.4285,7249751,16607184,2195800,2195864
